"Id","Menu","Nivel","Padre","Ruta","ClaimMenu","Claim","Estado","Actual","OrigenAngular","VistaSQL","ApiVieja","ModeloViejo","Regla","Accion"
"610","Calculo","1","7","/nom/calcnomina","Calculo_2050","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Procesos\NominaProcesos.razor","CalcnominaComponent","","grp-extreme-api\src\modules\nom\calcnomina","grp-extreme\src\app\core\models\sis\formacalculo","Complejo: SP/vista readonly","Preparar SP o vista readonly"
"620","Auxiliares","1","7","/","Nomina_Auxiliares","OK","GRUPO","","","","","","Grupo menu",""
"621","Calculo ISSSTE","2","620","/aux/auxcalcissste","Calculo_ISSSTE_4134","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","AuxCalcISSSTEComponent","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"622","Calculo ISR","2","620","/aux/auxcalcisrquincenal","Calculo_ISR_2053","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","AuxCalcISRQuincenalComponent","AUX_VW_AuxCalcISRQuincenal.sql","grp-extreme-api\src\modules\nhis\auxCalcISRQuincenal","grp-extreme\src\app\core\models\nhis\auxcalcisrquincenal","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"623","Calculo FOVISSSTE","2","620","/aux/auxcalcfovissste","Calculo_FOVISSSTE_4136","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","AuxCalcFovisssteComponent","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"624","Calculo Infonavit","2","620","/aux/auxcalcinfonavitquincenal","Calculo_Infonavit_139","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","AuxCalcInfonavitQuincenalComponent","AUX_VW_AUXCalcInfonavitQuincenal.sql","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"625","Calculo Cuotas IMSS","2","620","/aux/auxcalcimssquincenal","Calculo_IMSS_3084","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","AuxCalcIMSSQuincenalComponent","AUX_VW_AuxCalcIMSSQuincenal.sql","grp-extreme-api\src\modules\nhis\auxCalcIMSSQuincenal","grp-extreme\src\app\core\models\nhis\auxcalcimssquincenal","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"630","Productos","1","7","/","Nomina_Productos","OK","GRUPO","","","","","","Grupo menu",""
"631","Resumen","2","630","/nom/resumennomina","Resumen","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","VW_ResumenNominaComponent","NHIS_VW_ResumenNomina.sql","grp-extreme-api\src\modules\nhis\vw_resumenNomina","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"632","Recibos","2","630","/nom/recibonomina","Recibos","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"633","Archivos de Dispersion","2","630","/nom/archivodispercion","Archivos_Dispersion","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"634","Archivos de Timbrado","2","630","/nom/timbradopercepciones","Archivos_Timbrado","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","VW_TimbradoPercepcionesComponent","NOM_VW_Timbrado_Percepciones.sql","grp-extreme-api\src\modules\nom\vw_timbradopercepciones","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"635","Reporte Cuotas IMSS","2","630","/aux/imssquincenal_rep","Reporte_Cuotas_IMSS","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"636","Reporte Nomina Actual","2","630","/nom/reportenomina","Reporte_Nomina","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","VW_ReporteNominaComponent","NHIS_VW_ReporteNomina.sql","grp-extreme-api\src\modules\nhis\vw_reporteNomina","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"640","Incidencias","1","7","/","Nomina_Incidencias","OK","GRUPO","","","","","","Grupo menu",""
"641","Captura de Incidencias","2","640","/rh/incidencia","Captura_Incidencias","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Nomina\Incidencias\Incidencias.razor","IncidenciaComponent","","grp-extreme-api\src\modules\rh\incidencia","grp-extreme\src\app\core\models\rh\incidencia","FK: vista para lectura + entidad/SP para guardar","Preparar Vw* para joins/FK"
"642","Justificacion de Incidencias","2","640","/rh/justificacion","Justificacion_Incidencias","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Nomina\Incidencias\JustificacionIncidencias.razor","JustificacionComponent","","grp-extreme-api\src\modules\sis\tipoJustificacion","grp-extreme\src\app\core\models\sis\tipojustificacion","FK: vista para lectura + entidad/SP para guardar","Preparar Vw* para joins/FK"
"643","Reporte de Incidencias","2","640","/rh/incidenciareport","Reporte_Incidencias","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Nomina\Incidencias\ReporteIncidencias.razor","IncidenciaReportComponent","","","","Complejo: SP/vista readonly","Preparar SP o vista readonly"
"650","Pagos Extraordinarios","1","7","/nom/conceptovariable","Conceptos_Variables","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Nomina\PagosExtraordinarios\ConceptosVariables.razor","ConceptoVariableComponent","","grp-extreme-api\src\modules\nom\conceptoVariable","grp-extreme\src\app\core\models\nom\conceptovariable","FK: vista para lectura + entidad/SP para guardar","Preparar Vw* para joins/FK"
"660","Cierre de Periodo","1","7","/nom/cierraperiodo","Cierre_Periodo","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Procesos\NominaProcesos.razor","CierreperiodoComponent","","grp-extreme-api\src\modules\nom\cierraperiodo","grp-extreme\src\app\core\models\alma\cierraperiodo","Complejo: SP/vista readonly","Preparar SP o vista readonly"
"670","Finiquito/Liquidacion","1","7","/rh/liquidacion","Liquidacion","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","LiquidacionComponent","","grp-extreme-api\src\modules\rh\liquidacion","grp-extreme\src\app\core\models\rh\liquidacion","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"680","Nominas Especiales","1","7","/","Nominas_Especiales","OK","GRUPO","","","","","","Grupo menu",""
"681","Calculo de Aguinaldo","2","680","/nom/calcaguinaldo","Calc_Aguinaldo","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Procesos\NominaProcesos.razor","CalcAguinaldoComponent","","","","Complejo: SP/vista readonly","Preparar SP o vista readonly"
"682","Configura Aguinaldo","2","680","/sis/nominaespecial","Configura_Aguinaldo","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","NominaEspecialComponent","NOM_VW_NominaEspecial.sql","grp-extreme-api\src\modules\sis\nominaespecial","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"683","Aguinaldo","2","680","/sis/vwnominaespecial","Aguinaldo","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","VW_NominaEspComponent","NOM_VW_NominaEspecial.sql","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"684","Faltas Especiales","2","680","/emp/faltasxempresa","Faltas_Especial","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","FaltasXEmpresaComponent","","","","Simple: catalogo/entidad directa","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"700","Historicos de Nomina","0","7","/","Nomina_Historicos","OK","GRUPO","","","","","","Grupo menu",""
"710","Productos","1","700","/","Nomina_Productos_Historicos","OK","GRUPO","","","","","","Grupo menu",""
"711","Consulta de Nomina","2","710","/nomina/historicos/consulta","Consulta_Nomina","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"712","Analisis","2","710","/nomina/historicos/analisis","Analisis","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"713","Recibos","2","710","/nomina/historicos/recibos","Recibos_Historicos","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"714","Archivos de Dispersion","2","710","/nomina/historicos/dispersion","Archivos_Dispersion_Historicos","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"715","Archivos de Timbrado","2","710","/nomina/historicos/timbrado","Archivos_Timbrado_Historicos","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","NOM_VW_Timbrado_Deducciones.sql","grp-extreme-api\src\modules\nom\vw_timbradodeducciones","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"716","Reporte Nomina Quincenal","2","710","/nomina/historicos/reportequincenal","Reporte_Nomina_Quincenal","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"717","Resumen de Nomina Historica","2","710","/nomina/historicos/resumen","Resumen_Nomina_Historica","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","NHIS_VW_ResumenNomina.sql","grp-extreme-api\src\modules\nhis\vw_resumenNomina","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"718","Reporte de Nomina Historica","2","710","/nomina/historicos/reportehistorico","Reporte_Nomina_Historica","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"719","Cubo Nomina Historica","2","710","/nomina/historicos/cubo","Cubo_Nomina_Historica","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"720","Reportes del IMSS","1","700","/","Reportes_IMSS_Historicos","OK","GRUPO","","","","","","Grupo menu",""
"721","Salario Base de Cotizacion","2","720","/nomina/historicos/sbc","Salario_Base_Cotizacion","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"722","Acumulados IMSS","2","720","/nomina/historicos/acumuladosimss","Acumulados_IMSS","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"723","SBC Historico","2","720","/nomina/historicos/sbchistorico","SBC_Historico","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"724","Acumulados en el Bimestre IMSS","2","720","/nomina/historicos/acumuladosbimestre","Acumulados_Bimestre_IMSS","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"730","Reportes del SAT","1","700","/","Reportes_SAT_Historicos","OK","GRUPO","","","","","","Grupo menu",""
"731","Acumulado Mensual ISR","2","730","/nomina/historicos/isr_mensual","Acumulado_Mensual_ISR","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","AUX_VW_AuxCalcISRMensual.sql","grp-extreme-api\src\modules\sis\iSRMensual","grp-extreme\src\app\core\models\sis\isrmensual","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"732","Acumulados de ISR","2","730","/nomina/historicos/isr_acumulados","Acumulados_ISR","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"740","Impuestos sobre Nomina locales","1","700","/nomina/historicos/impuestoslocales","Impuestos_Locales","OK","MIGRADO","FrontEnd\\EG.Web\\Pages\\Modules\\Nomina\\NominaOperaciones.razor","","","","","Complejo: SP/vista readonly","Migrado a visor operativo NOM.spOperacionNomina_List; proceso final queda por SP especifico cuando aplique"
"800","Configuracion Nominas","0","7","/","Configuracion_Nominas","OK","GRUPO","","","","","","Grupo menu",""
"810","Catalogos","1","800","/","Nomina_Catalogos","OK","GRUPO","","","","","","Grupo menu",""
"811","Tipo de Nomina","2","810","/nomina/configuracion/catalogos/tipo-nomina","Tipo_Nomina","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","","","Simple: catalogo/entidad directa",""
"812","Cuotas IMSS","2","810","/nomina/configuracion/catalogos/cuotas-imss","Cuotas_IMSS","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","grp-extreme-api\src\modules\sis\cuotasImss","grp-extreme\src\app\core\models\sis\cuotasimss","Simple: catalogo/entidad directa",""
"813","Conceptos de Nomina","2","810","/nomina/configuracion/catalogos/conceptos","Conceptos_Nomina","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomConceptos.razor","","","","","FK: vista para lectura + entidad/SP para guardar","Preparar Vw* para joins/FK"
"814","UMA","2","810","/nomina/configuracion/catalogos/uma","UMA","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","grp-extreme-api\src\modules\sis\uMA","grp-extreme\src\app\core\models\sis\uma","Simple: catalogo/entidad directa",""
"815","Tipo de Contratacion","2","810","/nomina/configuracion/catalogos/tipo-contratacion","Tipo_Contratacion","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomTipoContrataciones.razor","","SIS.TipoContratacion","grp-extreme-api\src\modules\sis\tipoContratacion","grp-extreme\src\app\core\models\sis\tipocontratacion","Entidad directa SIS","Espejo NOM.CatalogoSimple conservado temporalmente por FKs operativas"
"816","Tipo de descanso","2","810","/nomina/configuracion/catalogos/tipo-descanso","Tipo_Descanso","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","grp-extreme-api\src\modules\sis\tipoDescanso","grp-extreme\src\app\core\models\sis\tipodescanso","Simple: catalogo/entidad directa",""
"817","Tipo de Incidencia","2","810","/nomina/configuracion/catalogos/tipo-incidencia","Tipo_Incidencia","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomTipoIncidencias.razor","","SIS.TipoIncidencia","grp-extreme-api\src\modules\sis\tipoIncidencia","grp-extreme\src\app\core\models\sis\tipoincidencia","Entidad directa SIS","Espejo NOM.CatalogoSimple conservado temporalmente por FKs operativas"
"818","Conceptos de importe Fijo","2","810","/nomina/configuracion/catalogos/concepto-fijo","Concepto_Fijo","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomConceptoFijos.razor","","","grp-extreme-api\src\modules\nom\conceptoFijo","grp-extreme\src\app\core\models\nom\conceptofijo","FK: vista para lectura + entidad/SP para guardar","Preparar Vw* para joins/FK"
"819","Tipo de Justificacion","2","810","/nomina/configuracion/catalogos/tipo-justificacion","Tipo_Justificacion","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomTipoJustificaciones.razor","","SIS.TipoJustificacion","grp-extreme-api\src\modules\sis\tipoJustificacion","grp-extreme\src\app\core\models\sis\tipojustificacion","Entidad directa SIS","Espejo NOM.CatalogoSimple conservado temporalmente por FKs operativas"
"820","Tabulador","2","810","/nomina/configuracion/catalogos/tabulador","Tabulador","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomConceptoTabulars.razor","","","","","Simple: catalogo/entidad directa",""
"821","Unidad Infonavit","2","810","/nomina/configuracion/catalogos/unidad-infonavit","Unidad_Infonavit","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","grp-extreme-api\src\modules\sis\unidadInfonavit","grp-extreme\src\app\core\models\sis\unidadinfonavit","Simple: catalogo/entidad directa",""
"822","Salario Minimo General","2","810","/nomina/configuracion/catalogos/smg","Salario_Minimo","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomSalarioMinimos.razor","","","grp-extreme-api\src\modules\sis\sMG","grp-extreme\src\app\core\models\sis\smg","Simple: catalogo/entidad directa",""
"823","Forma de Pago","2","810","/nomina/configuracion/catalogos/forma-pago","Forma_Pago","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomTipoPagos.razor","","","grp-extreme-api\src\modules\sis\formaPago","grp-extreme\src\app\core\models\sis\formapago","Simple: catalogo/entidad directa",""
"824","Forma de Calculo","2","810","/nomina/configuracion/catalogos/forma-calculo","Forma_Calculo","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","grp-extreme-api\src\modules\sis\formaCalculo","grp-extreme\src\app\core\models\sis\formacalculo","Complejo: SP/vista readonly","Preparar SP o vista readonly"
"825","Capitulos","2","810","/nomina/configuracion/catalogos/capitulos","Capitulos","OK","MIGRADO","FrontEnd\EG.Web\Pages\Modules\Nomina\Configuration\Catalogos\NomCatalogosSimples.razor","","","","","Simple: catalogo/entidad directa",""
"830","Periodos","1","800","/","Nomina_Periodos","OK","GRUPO","","","","grp-extreme-api\src\modules\alma\periodos","grp-extreme\src\app\core\models\alma\periodos","Grupo menu",""
